day_name,shift_code,samples,minutes_median,hours_median,minutes_min,minutes_max
QUA,CAI1,1,540,9,540,540
QUA,CAI2,1,360,6,360,360
QUA,CAI3,1,450,7.5,450,450
QUA,CAI4,1,270,4.5,270,270
QUA,CAI5,1,300,5,300,300
QUA,CAI6,1,300,5,300,300
QUI,CAI1,1,360,6,360,360
QUI,CAI2,1,360,6,360,360
QUI,CAI3,1,480,8,480,480
QUI,CAI4,1,330,5.5,330,330
QUI,CAI5,1,270,4.5,270,270
QUI,CAI6,1,300,5,300,300
SAB,CAI1,1,270,4.5,270,270
SAB,CAI2,1,450,7.5,450,450
SAB,CAI3,1,510,8.5,510,510
SAB,CAI4,1,270,4.5,270,270
SAB,CAI5,1,300,5,300,300
SAB,CAI6,1,270,4.5,270,270
SEG,CAI1,1,570,9.5,570,570
SEG,CAI2,1,360,6,360,360
SEG,CAI3,1,270,4.5,270,270
SEG,CAI4,1,300,5,300,300
SEG,CAI5,1,330,5.5,330,330
SEG,CAI6,1,330,5.5,330,330
SEX,CAI1,1,540,9,540,540
SEX,CAI2,1,360,6,360,360
SEX,CAI3,1,450,7.5,450,450
SEX,CAI4,1,330,5.5,330,330
SEX,CAI5,1,270,4.5,270,270
SEX,CAI6,1,270,4.5,270,270
TER,CAI1,1,360,6,360,360
TER,CAI2,1,270,4.5,270,270
TER,CAI3,1,480,8,480,480
TER,CAI4,1,300,5,300,300
TER,CAI5,1,330,5.5,330,330
TER,CAI6,1,330,5.5,330,330
